City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fairbanks,64.8378,-147.7164,63.09,71,100,1.86,US,1661731206
Broken Hill,-31.95,141.4333,71.42,43,0,18.05,AU,1661731489
Novoagansk,61.9449,76.6625,47.61,89,99,8.12,RU,1661731489
Longyearbyen,78.2186,15.6401,37.24,75,75,10.36,SJ,1661731339
Dukat,62.55,155.55,47.16,91,100,2.24,RU,1661731490
Kurush,41.2841,47.8345,51.04,46,0,2.93,RU,1661731490
Paka,4.6374,103.4368,77.23,86,87,3.13,MY,1661731491
Tazovsky,67.4667,78.7,34.34,83,6,10.27,RU,1661731491
Ndjolé,-0.1783,10.7649,71.4,90,66,2.57,GA,1661731491
Erenhot,43.6475,111.9767,56.97,71,47,5.84,CN,1661731492
Nago,26.5881,127.9761,86.45,74,13,3.44,JP,1661731204
Eyrarbakki,63.863,-21.1481,49.21,79,100,14.05,IS,1661731493
Goygol,40.5869,46.3158,63.91,60,20,6.91,AZ,1661731493
San Cosme y Damián,-27.3167,-56.35,51.98,59,34,12.12,PY,1661731493
Santa Maria,-29.6842,-53.8069,45.18,68,11,6.71,BR,1661731494
Winslow,35.0242,-110.6974,86.18,26,0,10.36,US,1661731357
Najrān,17.4924,44.1277,80.78,35,83,2.91,SA,1661731495
Lorengau,-2.0226,147.2712,82.74,79,100,12.37,PG,1661731302
Santo Antônio do Leverger,-15.8656,-56.0767,88.18,25,93,6.4,BR,1661731495
Maceió,-9.6658,-35.7353,73.71,83,43,8.72,BR,1661731446
Korla,41.7597,86.1469,69.19,38,30,1.63,CN,1661731353
Marabá,-5.3686,-49.1178,77.18,69,0,0.0,BR,1661731496
Logansport,40.7545,-86.3567,85.71,70,0,5.75,US,1661731496
Nhulunbuy,-12.2333,136.7667,83.01,74,75,13.8,AU,1661731497
Shinpokh,34.3292,71.1782,78.21,67,0,0.85,PK,1661731497
Samarai,-10.6167,150.6667,80.13,82,96,14.2,PG,1661731498
Bandarbeyla,9.4942,50.8122,75.22,77,39,21.0,SO,1661731498
Laguna,38.421,-121.4238,97.14,26,0,10.36,US,1661731498
Yantal',56.8471,105.2542,42.76,93,100,10.33,RU,1661731499
Şabrātah,32.7933,12.4885,87.4,40,0,7.7,LY,1661731499
Les Cayes,18.2,-73.75,79.97,79,79,7.18,HT,1661731499
Lanivtsi,49.8633,26.0908,67.87,49,41,5.39,UA,1661731500
Ibipeba,-11.6408,-42.0111,69.58,47,0,5.93,BR,1661731501
Mukhen,48.1,136.1,63.21,71,99,4.94,RU,1661731501
Almaznyy,48.0448,40.045,69.13,46,26,10.49,RU,1661731501
Dalvik,65.9702,-18.5286,51.96,64,100,2.21,IS,1661731502
Chepareria,1.3077,35.2039,60.49,85,77,2.73,KE,1661731502
Nouadhibou,20.931,-17.0347,71.64,79,0,24.96,MR,1661731503
Stockbridge,33.5443,-84.2338,86.43,81,59,5.23,US,1661731210
Saint-François,46.4154,3.9054,62.04,88,0,1.14,FR,1661731503
Dolinsk,47.35,142.8,66.02,59,6,10.38,RU,1661731504
Bull Savanna,17.8868,-77.5902,78.96,83,76,9.06,JM,1661731504
Pangnirtung,66.1451,-65.7125,41.45,82,74,2.95,CA,1661731505
Yuzhne,46.6221,31.1013,75.45,52,0,7.45,UA,1661731505
Rawson,-43.3002,-65.1023,51.39,49,17,10.36,AR,1661731506
Esim,4.8699,-2.2405,75.38,80,86,8.55,GH,1661731506
Moose Factory,51.2585,-80.6094,71.71,74,100,15.12,CA,1661731298
Obo,5.3998,26.4869,65.95,95,100,1.72,CF,1661731506
Yerbogachën,61.2767,108.0108,42.35,91,89,8.93,RU,1661731287
General Roca,-39.0333,-67.5833,53.62,26,0,12.48,AR,1661731507
Coxim,-18.5067,-54.76,88.47,23,93,4.07,BR,1661731508
Ojinaga,29.5667,-104.4167,90.55,48,0,6.91,MX,1661731508
Flinders,-34.5833,150.8552,69.06,75,30,9.89,AU,1661731508
Port Hardy,50.6996,-127.4199,59.77,82,100,7.11,CA,1661731256
Iralaya,15.0,-83.2333,81.32,80,100,6.96,HN,1661731259
Bardsīr,29.9227,56.5743,58.6,13,0,3.18,IR,1661731509
Prado,-17.3411,-39.2208,71.17,85,0,8.32,BR,1661731509
Suşehri,40.1644,38.0867,64.45,86,5,0.63,TR,1661731510
Naze,28.3667,129.4833,82.18,78,99,5.88,JP,1661731500
Isangel,-19.55,169.2667,80.71,74,75,6.91,VU,1661731511
Itoman,26.1247,127.6694,89.98,74,20,3.44,JP,1661731511
Carutapera,-1.195,-46.02,77.9,82,58,7.38,BR,1661731511
Sémbé,1.6481,14.5806,70.07,91,96,1.88,CG,1661731512
Tateyama,34.9833,139.8667,78.1,76,60,16.2,JP,1661731512
Izhma,65.0083,53.9113,58.96,77,90,5.57,RU,1661731513
Puerto Triunfo,5.8726,-74.6403,79.32,78,84,0.63,CO,1661731513
Nioro,13.35,-15.75,74.91,96,100,5.06,GM,1661731513
Tall Kayf,37.0833,41.0667,84.56,15,0,7.16,TR,1661731514
Fécamp,49.7579,0.3746,64.11,69,100,15.17,FR,1661731514
Yuancheng,36.652,107.7896,60.53,67,70,1.25,CN,1661731515
Piracanjuba,-17.3028,-49.0167,74.79,30,6,3.62,BR,1661731515
Berezovyy,51.6667,135.7,61.14,64,22,3.29,RU,1661731515
Lagos,6.5833,3.75,73.56,90,87,3.15,NG,1661731499
Rio Grande,-32.035,-52.0986,46.51,62,30,14.83,BR,1661731516
Ahipara,-35.1667,173.1667,60.46,64,4,7.54,NZ,1661731516
Rafai,4.95,23.9167,68.36,97,100,2.55,CF,1661731517
Yeppoon,-23.1333,150.7333,69.58,79,96,15.03,AU,1661731517
Ust-Kuyga,70.0167,135.6,54.79,72,16,3.31,RU,1661731518
Huayucachi,-12.1333,-75.2333,54.36,62,98,2.64,PE,1661731518
Yumen,40.2833,97.2,64.65,24,75,5.79,CN,1661731519
Saint Anthony,45.0205,-93.218,82.13,76,40,8.05,US,1661731255
Navalmoral de la Mata,39.8916,-5.5406,76.84,49,22,6.31,ES,1661731519
Kieta,-6.2167,155.6333,83.21,72,27,7.78,PG,1661731520
Grand-Santi,4.25,-54.3833,77.04,81,99,0.69,GF,1661731520
Qiyang,26.5911,111.8474,85.64,67,64,0.74,CN,1661731521
Labuan,5.2767,115.2417,79.93,83,62,7.29,MY,1661731521
Guadalupe y Calvo,26.1,-106.9667,61.02,93,100,3.6,MX,1661731522
Kota Bharu,6.1333,102.2386,76.08,91,99,3.74,MY,1661731522
Zhalantun,48.0,122.7167,63.39,57,78,1.81,CN,1661731523
Benguela,-12.5763,13.4055,69.62,84,93,4.38,AO,1661731523
Auki,-8.7676,160.7034,84.96,63,7,4.88,SB,1661731524
Bairiki Village,1.3292,172.9752,81.99,73,76,17.27,KI,1661731524
Kargasok,59.0556,80.8572,54.48,82,46,16.37,RU,1661731398
Linkou,45.3,130.2833,65.01,66,100,4.0,CN,1661731284
Sittwe,20.15,92.9,78.62,88,72,4.34,MM,1661731525
Port Blair,11.6667,92.75,80.8,83,89,6.64,IN,1661731525
Amapá,1.0,-52.0,73.65,86,71,1.59,BR,1661731526
Ostuacán,17.4167,-93.3,79.47,81,88,2.19,MX,1661731526
Jaraguá do Sul,-26.4861,-49.0667,60.89,99,100,3.62,BR,1661731517
Penalva,-3.2942,-45.1736,76.75,75,73,3.22,BR,1661731527
Calatayud,41.3535,-1.6432,75.24,54,47,4.65,ES,1661731527
Tahe,52.3333,124.7333,58.35,82,100,1.48,CN,1661731527
Salalah,17.0151,54.0924,77.09,88,75,2.3,OM,1661731528
Manyana,-23.4,21.7167,61.41,25,0,3.98,BW,1661731528
Marquard,-28.6645,27.4305,49.86,38,25,4.45,ZA,1661731529
Amga,60.8953,131.9608,62.13,51,54,5.59,RU,1661731529
Abu Dhabi,24.4667,54.3667,87.82,85,0,5.75,AE,1661731529
Petites Anses,15.8501,-61.6442,80.11,78,1,15.61,GP,1661731530
Great Yarmouth,52.6083,1.7305,64.02,77,100,10.45,GB,1661731530
Khoy,38.5504,44.9535,70.59,26,0,1.86,IR,1661731531
Fernley,39.608,-119.2518,95.56,12,20,7.7,US,1661731502
Wanning,18.8003,110.3967,81.46,82,81,3.96,CN,1661731531
Luanda,-8.8368,13.2343,68.22,91,31,6.73,AO,1661731532
Arkhara,49.4212,130.0842,61.72,84,100,7.83,RU,1661731532
Faanui,-16.4833,-151.75,77.81,73,14,8.59,PF,1661731533
Safi,32.2994,-9.2372,68.56,84,0,8.63,MA,1661731533
Vung Tau,10.346,107.0843,81.23,82,100,14.18,VN,1661731434
Garoowe,8.4054,48.4845,72.01,71,100,24.74,SO,1661731534
Creel,27.75,-107.6333,61.03,89,91,5.61,MX,1661731534
Estrela,-28.0611,-50.9383,40.41,88,97,7.38,BR,1661731534
Strausberg,52.5786,13.8874,62.87,99,0,6.98,DE,1661731535
Buluang,13.3068,123.3425,83.25,78,85,1.43,PH,1661731535
Kaura Namoda,12.5898,6.5779,70.75,93,99,4.72,NG,1661731536
Kabare,-2.4683,28.8242,63.18,83,98,0.98,CD,1661731536
Kalmunai,7.4167,81.8167,79.12,80,96,3.96,LK,1661731536
Honningsvåg,70.9821,25.9704,46.15,81,100,9.22,NO,1661731537
Apastovo,55.2029,48.5109,70.54,41,100,3.04,RU,1661731537
Havelock,34.8791,-76.9013,81.0,88,100,3.89,US,1661731454
Kochevo,59.5994,54.3125,58.19,88,25,5.79,RU,1661731538
Rensvik,63.1,7.8167,51.46,81,14,4.61,NO,1661731538
Oranjestad,12.524,-70.027,84.15,79,20,19.57,AW,1661731539
Acaraú,-2.8856,-40.12,77.92,80,33,16.15,BR,1661731539
Bambanglipuro,-7.95,110.2833,75.74,73,98,4.43,ID,1661731539
Hamilton,39.1834,-84.5333,86.85,59,0,10.36,US,1661731539
Puerto Ayacucho,5.6639,-67.6236,74.53,93,97,2.13,VE,1661731540
Pravokumskoye,44.7694,44.6472,71.46,53,3,9.19,RU,1661731540
Hemnesberget,66.2333,13.6333,49.57,92,99,6.13,NO,1661731541
Front Royal,38.9182,-78.1944,83.08,73,0,0.0,US,1661731347
Sisimiut,66.9395,-53.6735,45.55,66,18,10.58,GL,1661731541
Bani Walid,31.7566,13.9942,76.15,64,0,6.53,LY,1661731542
Sergeevka,53.88,67.4158,54.25,52,9,5.95,KZ,1661731542
Virginia Beach,36.8529,-75.978,83.01,79,75,5.75,US,1661731485
Taixing,32.1667,120.0136,79.18,74,78,8.37,CN,1661731543
Calama,-22.4667,-68.9333,55.89,12,0,9.22,CL,1661731543
Anzio,41.4853,12.6179,73.31,74,1,2.82,IT,1661731544
Watsa,3.0372,29.5355,60.51,98,80,1.14,CD,1661731544
Havøysund,70.9963,24.6622,46.63,78,100,13.42,NO,1661731544
Alta Floresta,-9.8756,-56.0861,83.12,27,42,4.21,BR,1661731545
Hokitika,-42.7167,170.9667,55.22,51,7,4.52,NZ,1661731545
Sambava,-14.2667,50.1667,69.24,88,89,8.72,MG,1661731546
Pangkalanbuun,-2.6833,111.6167,75.54,95,100,3.78,ID,1661731546
Russellville,35.2784,-93.1338,89.06,62,0,5.99,US,1661731345
Aswān,24.0934,32.907,91.72,22,2,7.23,EG,1661731547
Krasnosel'kup,65.7,82.4667,32.59,91,29,14.58,RU,1661731547
Astara,38.5,48.6667,67.96,28,0,4.97,AZ,1661731547
Sarangani,5.4033,125.4636,83.55,74,51,11.05,PH,1661731548
Erzin,36.9559,36.2,78.73,29,0,2.57,TR,1661731548
Moshenskoye,58.5102,34.5911,67.86,56,100,3.65,RU,1661731549
Giruá,-28.0283,-54.3497,44.69,74,33,9.73,BR,1661731549
Nuevo Progreso,23.1667,-97.95,87.55,60,96,5.99,MX,1661731549
Mount Vernon,40.9126,-73.8371,77.11,79,40,9.22,US,1661731550
La Ronge,55.1001,-105.2842,61.12,85,99,13.2,CA,1661731550
Aykhal,66.0,111.5,36.97,97,100,19.39,RU,1661731550
Banff,51.1762,-115.5698,63.66,39,33,5.53,CA,1661731551
Sal Rei,16.1833,-22.9167,77.65,77,97,16.08,CV,1661731551
Idlib,35.9306,36.6339,78.51,27,2,3.53,SY,1661731552
Fraga,41.5229,0.3489,75.58,66,1,7.29,ES,1661731552
Kolokani,13.5728,-8.0339,72.72,90,32,7.29,ML,1661731552
Moratuwa,6.773,79.8816,80.62,88,98,6.29,LK,1661731553
Eenhana,-17.4667,16.3333,65.32,22,0,7.0,NA,1661731541
Teshie,5.5836,-0.1072,74.07,84,83,7.16,GH,1661731554
Chatrapur,19.35,84.9833,80.38,87,34,3.2,IN,1661731554
Puerto del Rosario,28.5004,-13.8627,71.35,68,0,11.5,ES,1661731554
Bluefield,37.2698,-81.2223,77.07,73,0,1.99,US,1661731555
Moses Lake,47.1301,-119.2781,85.87,24,0,5.75,US,1661731555
Naryan-Mar,67.6713,53.087,52.74,97,98,2.08,RU,1661731556
Bria,6.5423,21.9863,68.47,97,100,4.03,CF,1661731556
Lourdes,43.1,-0.05,67.12,77,0,3.44,FR,1661731556
Khuchni,41.9499,47.9485,67.6,43,0,4.52,RU,1661731557
Östersund,63.1792,14.6357,48.65,81,100,11.5,SE,1661731524
San Fernando del Valle de Catamarca,-28.4696,-65.7852,59.77,31,5,4.0,AR,1661731557
Afşin,38.2477,36.914,66.09,33,0,1.5,TR,1661731558
Bonavista,48.6499,-53.1147,62.76,78,9,17.81,CA,1661731558
Novikovo,51.1537,37.8879,69.22,66,87,7.34,RU,1661731558
Bodden Town,19.2833,-81.25,84.92,86,62,9.75,KY,1661731461
Half Moon Bay,37.4636,-122.4286,82.8,68,100,13.8,US,1661731295
Kasulu,-4.5767,30.1025,71.08,53,99,2.39,TZ,1661731559
Denpasar,-8.65,115.2167,78.46,88,40,12.66,ID,1661731501
Todos Santos,23.45,-110.2167,79.66,85,71,7.7,MX,1661731333
Bumba,2.1833,22.4667,71.4,90,97,2.42,CD,1661731560
Qaryat Sulūq,31.6682,20.2521,80.53,57,0,6.51,LY,1661731560
Mabaruma,8.2,-59.7833,74.93,89,26,3.13,GY,1661731561
Pochutla,15.7432,-96.4661,71.42,84,92,1.92,MX,1661731561
